DatGeracaoConjuntoDados;DscTipEqp;NumFasMdlEqp;IdeOnsSbe;IdeMdl;IdeTipMdl;IdeSbe;MdaCpeRaiNegMdlEqp;MdaCpeRaivPosMdlEqp;DscIdcExsMdlCnr;DscFinMdlEqp;MdaPotAtvMdlEqp;MdaTnsScdMdlEqp;MdaTnsTiaMdlEqp;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;Banco de Capacitores;Trifásico;RJSTVP;267;3;1339;;50.00;S;Principal;;;;VENDA PEDRAS;SUB VENDA DAS PEDRAS    RJ;RJ;BC1;BC 138 kV 50 Mvar VENDA PEDRAS BC1 RJ;3;138,00
2026-04-27;Banco de Capacitores;Trifásico;RJSTVP;268;3;1339;;50.00;S;Principal;;;;VENDA PEDRAS;SUB VENDA DAS PEDRAS    RJ;RJ;BC2;BC 138 kV 50 Mvar VENDA PEDRAS BC2 RJ;3;138,00
2026-04-27;Banco de Capacitores;Trifásico;SPCTR;384;3;2048;;21.00;S;Principal;;;;CENTRO-CTR;SUB CENTRO-CTR    SP;SP;BC1;BC 88 kV 21 Mvar CENTRO-CTR BC1 SP;3;88,00
2026-04-27;Banco de Capacitores;Trifásico;SPPIR2;414;3;2370;;28.80;N;Principal;;;;PIRATININGA 2;SUB PIRATININGA II   SP;SP;BC1;BC 138 kV 28,8 Mvar PIRATININGA 2 BC1 SP;3;138,00
2026-04-27;Banco de Capacitores;Trifásico;SPPIR2;415;3;2370;;28.80;N;Principal;;;;PIRATININGA 2;SUB PIRATININGA II   SP;SP;BC2;BC 138 kV 28,8 Mvar PIRATININGA 2 BC2 SP;3;138,00
2026-04-27;Transformador de Potência;Trifásico;ALPEN;6920;3;19;;;S;Principal;100.00;69.00;;PENEDO;SUB PENEDO AL;AL;TR3;TR 230/69 kV PENEDO TR3 AL;3;230,00
2026-04-27;Transformador de Potência;Trifásico;BAICA;7121;3;70;;;S;Principal;55.00;138.00;;IBICOARA;SUB IBICOARA    BA;BA;TR1;TR 230/138 kV IBICOARA TR1 BA;3;230,00
2026-04-27;Transformador de Potência;Trifásico;BAICA;7124;3;70;;;S;Principal;55.00;138.00;;IBICOARA;SUB IBICOARA    BA;BA;TR2;TR 230/138 kV IBICOARA TR2 BA;3;230,00
2026-04-27;Transformador de Potência;Monofásico;BAICA;7127;3;70;;;S;Principal;300.00;230.00;13.80;IBICOARA;SUB IBICOARA    BA;BA;TR1;TR 500/230 kV IBICOARA TR1 BA;3;500,00
2026-04-27;Transformador de Potência;Trifásico;MALT;8030;3;328;;;;Principal;150.00;69.00;;SAO LUIS III;SUB SAO LUIS III     MA;MA;TR1;TR 230/69 kV SAO LUIS III TR1 MA;3;230,00
2026-04-27;Transformador de Potência;Trifásico;MGITSE;8300;3;466;;;;Principal;225.00;138.00;13.80;ITUTINGA-SE;SUB ITUTINGA-SE   MG;MG;TR1;TR 345/138 kV ITUTINGA-SE TR1 MG;1;345,00
2026-04-27;Transformador de Potência;Monofásico;MGPAT4;8459;3;605;;;;Principal;300.00;138.00;13.80;PARACATU 4;SUB PARACATU 4    MG;MG;TR1;TR 500/138 kV PARACATU 4 TR1 MG;3;500,00
2026-04-27;Transformador de Potência;Monofásico;MGPAT4;8462;3;605;;;;Principal;300.00;138.00;13.80;PARACATU 4;SUB PARACATU 4    MG;MG;TR2;TR 500/138 kV PARACATU 4 TR2 MG;3;500,00
2026-04-27;Transformador de Potência;Monofásico;MGPIRD;8477;3;617;;;N;Principal;300.00;138.00;13.80;PIRAPORA 2;SUB PIRAPORA 2    MG;MG;TR2;TR 345/138 kV PIRAPORA 2 TR2 MG;3;345,00
2026-04-27;Transformador de Potência;Monofásico;MGPIRD;8480;3;617;;;N;Principal;300.00;138.00;13.80;PIRAPORA 2;SUB PIRAPORA 2    MG;MG;TR3;TR 345/138 kV PIRAPORA 2 TR3 MG;3;345,00
2026-04-27;Transformador de Potência;Monofásico;MGPIRD;8483;3;617;;;N;Principal;1050.00;345.00;13.80;PIRAPORA 2;SUB PIRAPORA 2    MG;MG;TR1;TR 500/345 kV PIRAPORA 2 TR1 MG;3;500,00
2026-04-27;Transformador de Potência;Monofásico;MGSTES;8582;3;676;;;N;Principal;900.00;345.00;13.80;ESTREITO;SUB ESTREITO    MG;MG;TR1;TR 500/345 kV ESTREITO TR1 MG;3;500,00
2026-04-27;Transformador de Potência;Monofásico;MGSTES;8585;3;676;;;N;Principal;900.00;345.00;13.80;ESTREITO;SUB ESTREITO    MG;MG;TR2;TR 500/345 kV ESTREITO TR2 MG;3;500,00
2026-04-27;Transformador de Potência;Monofásico;MTJBA;8957;3;815;;;;Principal;150.00;138.00;13.80;JUBA;SUB JUBA     MT;MT;TR1;TR 230/138 kV JUBA TR1 MT;3;230,00
2026-04-27;Transformador de Potência;Monofásico;MTJBA;8960;3;815;;;;Principal;150.00;138.00;13.80;JUBA;SUB JUBA     MT;MT;TR2;TR 230/138 kV JUBA TR2 MT;3;230,00
2026-04-27;Transformador de Potência;Monofásico;MTMGG;8975;3;823;;;;Principal;100.00;138.00;13.80;BRASNORTE;SUB BRASNORTE     MT;MT;TR1;TR 230/138 kV BRASNORTE TR1 MT;3;230,00
2026-04-27;Transformador de Potência;Monofásico;PAIT;9101;3;872;;;N;Principal;450.00;230.00;13.80;ITACAIUNAS;SUB ITACAIUNAS    PA;PA;TR1;TR 500/230 kV ITACAIUNAS TR1 PA;3;500,00
2026-04-27;Transformador de Potência;Monofásico;PAIT;9104;3;872;;;N;Principal;450.00;230.00;13.80;ITACAIUNAS;SUB ITACAIUNAS    PA;PA;TR2;TR 500/230 kV ITACAIUNAS TR2 PA;3;500,00
2026-04-27;Transformador de Potência;Monofásico;PRBTA;9725;3;1024;;;N;Principal;600.00;230.00;13.80;BATEIAS;SUB BATEIAS    PR;PR;TRC;TR 500/230 kV BATEIAS TRC PR;3;500,00
2026-04-27;Transformador de Potência;Monofásico;PRCBA;9734;3;1027;;;N;Principal;672.00;230.00;13.80;CURITIBA;SUB CURITIBA    PR;PR;TR3;TR 500/230 kV CURITIBA TR3 PR;3;500,00
2026-04-27;Transformador de Potência;Trifásico;PRFON;9824;3;1057;;;N;Principal;150.00;138.00;13.80;F.IGUACUNORTE;SUB FOZ IGUACU NORTE    PR;PR;TR1;TR 230/138 kV F.IGUACUNORTE TR1 PR;3;230,00
2026-04-27;Transformador de Potência;Monofásico;PRLON;9956;3;1087;;;N;Principal;672.00;230.00;13.80;LONDRINA ESU;SUB LONDRINA    PR;PR;TR1;TR 500/230 kV LONDRINA ESU TR1 PR;3;500,00
2026-04-27;Transformador de Potência;Monofásico;RJSTVP;10409;3;1339;;;S;Principal;400.00;138.00;13.80;VENDA PEDRAS;SUB VENDA DAS PEDRAS    RJ;RJ;TR1;TR 345/138 kV VENDA PEDRAS TR1 RJ;3;345,00
2026-04-27;Transformador de Potência;Monofásico;RJSTVP;10412;3;1339;;;S;Principal;400.00;138.00;13.80;VENDA PEDRAS;SUB VENDA DAS PEDRAS    RJ;RJ;TR2;TR 345/138 kV VENDA PEDRAS TR2 RJ;3;345,00
2026-04-27;Transformador de Potência;Trifásico;RSSCH;11114;3;1583;;;N;Principal;150.00;138.00;;SCHARLAU;SUB SCHARLAU 2 RS;RS;TR7;TR 230/138 kV SCHARLAU TR7 RS;3;230,00
2026-04-27;Transformador de Potência;Trifásico;RSSCH;11117;3;1583;;;N;Principal;150.00;138.00;;SCHARLAU;SUB SCHARLAU 2 RS;RS;TR8;TR 230/138 kV SCHARLAU TR8 RS;3;230,00
2026-04-27;Transformador de Potência;Trifásico;RSSCH;11120;3;1583;;;N;Principal;150.00;138.00;;SCHARLAU;SUB SCHARLAU 2 RS;RS;TR9;TR 230/138 kV SCHARLAU TR9 RS;3;230,00
2026-04-27;Transformador de Potência;Trifásico;SCBIG;11396;3;1658;;;N;Principal;225.00;138.00;13.80;BIGUACU;SUB BIGUACU ELETROSUL SC;SC;TR2;TR 230/138 kV BIGUACU TR2 SC;1;230,00
2026-04-27;Transformador de Potência;Trifásico;SCBIG;11399;3;1658;;;N;Principal;225.00;138.00;13.80;BIGUACU;SUB BIGUACU ELETROSUL SC;SC;TR3;TR 230/138 kV BIGUACU TR3 SC;1;230,00
2026-04-27;Transformador de Potência;Trifásico;SCFHA;11453;3;1688;;;N;Principal;150.00;69.00;13.80;FORQUILHINHA;SUB FORQUILHINHA     SC;SC;TR1;TR 230/69 kV FORQUILHINHA TR1 SC;3;230,00
2026-04-27;Transformador de Potência;Trifásico;SCVID;11669;3;1778;;;N;Principal;150.00;138.00;13.80;VIDEIRA;SUB VIDEIRA    SC;SC;TR1;TR 230/138 kV VIDEIRA TR1 SC;3;230,00
2026-04-27;Transformador de Potência;Trifásico;SCVID;11672;3;1778;;;N;Principal;150.00;138.00;13.80;VIDEIRA;SUB VIDEIRA    SC;SC;TR2;TR 230/138 kV VIDEIRA TR2 SC;3;230,00
2026-04-27;Transformador de Potência;Monofásico;SPARS;11801;3;1863;;;N;Principal;300.00;138.00;13.80;ARARAS;SUB ARARAS     SP;SP;TR1;TR 440/138 kV ARARAS TR1 SP;3;440,00
2026-04-27;Transformador de Potência;Monofásico;SPARS;11804;3;1863;;;N;Principal;300.00;138.00;13.80;ARARAS;SUB ARARAS     SP;SP;TR2;TR 440/138 kV ARARAS TR2 SP;3;440,00
2026-04-27;Transformador de Potência;Monofásico;SPATB;11822;3;1874;;;S;Principal;400.00;138.00;13.80;ATIBAIA 2;SUB ATIBAIA 2    SP;SP;TR1;TR 345/138 kV ATIBAIA 2 TR1 SP;3;345,00
2026-04-27;Transformador de Potência;Monofásico;SPGET;12170;3;2125;;;N;Principal;300.00;138.00;;GETULINA;SUB GETULINA    SP;SP;TR1;TR 440/138 kV GETULINA TR1 SP;3;440,00
2026-04-27;Transformador de Potência;Monofásico;SPITR2;12326;3;2186;;;N;Principal;300.00;138.00;13.80;ITARARE II;SUB ITARARE II    SP;SP;TR1;TR 230/138 kV ITARARE II TR1 SP;3;230,00
2026-04-27;Transformador de Potência;Monofásico;SPMSOL;12464;3;2305;;;N;Principal;300.00;138.00;13.80;MIRASSOL II;SUB MIRASSOL II   SP;SP;TR1;TR 440/138 kV MIRASSOL II TR1 SP;3;440,00
2026-04-27;Transformador de Potência;Monofásico;SPPIR2;12572;3;2370;;;N;Principal;400.00;138.00;13.80;PIRATININGA 2;SUB PIRATININGA II   SP;SP;TR1;TR 345/138 kV PIRATININGA 2 TR1 SP;3;345,00
2026-04-27;Transformador de Potência;Monofásico;SPPIR2;12575;3;2370;;;N;Principal;400.00;138.00;13.80;PIRATININGA 2;SUB PIRATININGA II   SP;SP;TR2;TR 345/138 kV PIRATININGA 2 TR2 SP;3;345,00
2026-04-27;Transformador de Potência;Monofásico;SPPIR2;12578;3;2370;;;N;Principal;400.00;138.00;13.80;PIRATININGA 2;SUB PIRATININGA II   SP;SP;TR3;TR 345/138 kV PIRATININGA 2 TR3 SP;3;345,00
2026-04-27;Transformador de Potência;Monofásico;SPRPR;12707;3;2435;;;;Principal;1200.00;440.00;13.80;RIBEIRAO PRETO;SUB RIBEIRAO PRETO SP;SP;AT1;TR 500/440 kV RIBEIRAO PRETO AT1 SP;3;500,00
2026-04-27;Transformador de Potência;Monofásico;SPRPR;12710;3;2435;;;;Principal;1200.00;440.00;13.80;RIBEIRAO PRETO;SUB RIBEIRAO PRETO SP;SP;AT2;TR 500/440 kV RIBEIRAO PRETO AT2 SP;3;500,00
2026-04-27;Reator de Barra;Monofásico;PAIT;13346;3;872;45.33;;N;Reserva;;;;ITACAIUNAS;SUB ITACAIUNAS    PA;PA;RTR1;RTB 500 kV 45,33 Mvar ITACAIUNAS RTR1 PA;3;500,00
2026-04-27;Reator de Barra;Monofásico;TOCO;13347;3;2731;45.33;;N;Reserva;;;;COLINAS;SUB COLINAS    TO;TO;RTR2;RTB 500 kV 45,33 Mvar COLINAS RTR2 TO;3;500,00
2026-04-27;Reator de Linha;Monofásico;TOMC;13348;3;2736;45.33;;;Reserva;;;;MIRACEMA;SUB MIRACEMA    TO;TO;RTR4;RTL 500 kV 45,33 Mvar MIRACEMA RTR4 TO;3;500,00
2026-04-27;Reator de Linha;Monofásico;TOSTGU;13349;3;2738;45.33;;;Reserva;;;;GURUPI;SUB GURUPI     TO;TO;RTR1;RTL 500 kV 45,33 Mvar GURUPI RTR1 TO;3;500,00
2026-04-27;Reator de Linha;Monofásico;GOSME2;13350;3;285;45.33;;;Reserva;;;;SERRA MESA 2;SUB SERRA DA MESA 2    GO;GO;RTR1;RTL 500 kV 45,33 Mvar SERRA MESA 2 RTR1 GO;3;500,00
