DatGeracaoConjuntoDados;IdeOnsSbe;SglTipAnj;DscTipAnj;IdeMdl;IdeTipMdl;IdeTipAnj;IdeSbe;IdcPrtMdlGrl;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;ALPEN;;;5768;1;;19;;PENEDO;SUB PENEDO AL;AL;MG1;MG 230 kV PENEDO MG1 AL;3;230,00
2026-04-27;ALUXG;DJM;Disjuntor e Meio;5770;1;2;27;2;USINA XINGO;USI USINA XINGO AL;AL;MG1;MG 500 kV USINA XINGO MG1 AL;3;500,00
2026-04-27;BAABX;;;5771;1;;34;;ABAIXADORA;SUB ABAIXADORA BA;BA;MG1;MG 230 kV ABAIXADORA MG1 BA;3;230,00
2026-04-27;BACTU;;;5778;1;;55;;CATU;SUB CATU     BA;BA;MG1;MG 230 kV CATU MG1 BA;3;230,00
2026-04-27;BAFNL;;;5780;1;;66;;FUNIL;SUB FUNIL    BA;BA;MG1;MG 230 kV FUNIL MG1 BA;3;230,00
2026-04-27;BAJCR;BD3;Barra Dupla a três Chaves;5784;1;7;72;2;JACARACANGA;SUB JACARACANGA   BA;BA;MG1;MG 230 kV JACARACANGA MG1 BA;3;230,00
2026-04-27;BAOLD;DJM;Disjuntor e Meio;5787;1;2;83;2;OLINDINA;SUB OLINDINA    BA;BA;MG1;MG 500 kV OLINDINA MG1 BA;2;500,00
2026-04-27;BASTJ;BPT;Barra Principal e Transferência;5792;1;1;102;2;STO.A.JESUS;SUB SANTO  ANTONIO JESUS   BA;BA;MG1;MG 230 kV STO.A.JESUS MG1 BA;2;230,00
2026-04-27;BAUSB;BD5;Barra Dupla a Cinco Chaves;5793;1;6;118;1;U.SOBRADINHO;USI SOBRADINHO    BA;BA;MG2;MG 500 kV U.SOBRADINHO MG2 BA;3;500,00
2026-04-27;CEDMG;;;5795;1;;139;;DELM. GOUVEIA;SUB DELMIRO  GOUVEIA    CE;CE;MG1;MG 230 kV DELM. GOUVEIA MG1 CE;3;230,00
2026-04-27;CESBD;BPT;Barra Principal e Transferência;5801;1;1;160;2;SOBRAL II;SUB SOBRAL II     CE;CE;MG1;MG 230 kV SOBRAL II MG1 CE;3;230,00
2026-04-27;GOUCD;BD4;Barra Dupla a Quatro Chaves;5811;1;4;297;2;C. DOURADA;USI CACHOEIRA  DOURADA    GO;GO;MG1;MG 230 kV C. DOURADA MG1 GO;3;230,00
2026-04-27;MAAC;DJM;Disjuntor e Meio;5813;1;2;319;1;ACAILANDIA;SUB ACAILANDIA    MA;MA;MG1;MG 500 kV ACAILANDIA MG1 MA;3;500,00
