DatGeracaoConjuntoDados;IdeMdl;IdeTipMdl;DscSitLinTms;IdeLinTms;IdeSbeOri;IdeSbeDsn;NomLinTms;NumCcuLinTms;QtdTorLinTms;NumEtnLinTms;IdeOnsSbeOrigem;NomSubestacaoOrigem;NomLongoSubestacaoOrigem;SigUFSubestacaoOrigem;IdeOnsSbeDestino;NomSubestacaoDestino;NomLongoSubestacaoDestino;SigUFSubestacaoDestino;IdeObr;NumCpdCnteCutLinhaTransm;NumCpdCnteLgaLinhaTransm;IdcTipoCircuitoLinhaTransm;IdcTipoEstruturaLinhaTransm;NumCaboCondutorLinhaTransm;NumCaboParaRaioLinhaTransm;IdeCaboCondutor;IdeCaboParaRaio;NumTensaoBaseLinhaTransm
2026-04-27;1843;4;Ativa;305;713;614;LT 345 kV FURNAS /PIMENTA MG;2;145;62,6000000000;MGUSFU;FURNAS;USI FURNAS     MG;MG;MGPIME;PIMENTA;SUB PIMENTA    MG;MG;2457;40;110;0;0;2;2;23;1;345,00
2026-04-27;3379;4;Ativa;633;1329;1334;LT 345 kV CAMPOS /MACAE MERCHAN RJ;3;228;90,0000000000;RJSTCM;CAMPOS;SUB CAMPOS     RJ;RJ;RJSTMH;MACAE MERCHAN;SUB MACAE MERCHANT   RJ;RJ;2471;40;3;0;1;2;2;23;1;345,00
2026-04-27;973;4;Ativa;89;153;902;LT 230 kV MILAGRES /COREMAS CE/PB;2;251;119,8000000000;CEMLG;MILAGRES;SUB MILAGRES    CE;CE;PBCMA;COREMAS;SUB COREMAS    PB;PB;2495;;;0;1;1;2;13;1;230,00
2026-04-27;1678;4;Desativada;263;576;591;LT 500 kV MESQUITA /NEVES 1 MG;1;357;173,0000000000;MGMESQ;MESQUITA;SUB MESQUITA    MG;MG;MGNEVE;NEVES 1;SUB NEVES 1    MG;MG;2553;;;0;0;3;2;23;1;500,00
2026-04-27;1531;4;Ativa;223;427;597;LT 500 kV EMBORCACAO /NOVA PONTE MG;2;198;88,0000000000;MGEMBO;EMBORCACAO;USI EMBORCACAO    MG;MG;MGNPON;NOVA PONTE;USI NOVA PONTE    MG;MG;2560;;;0;1;3;2;23;28;500,00
2026-04-27;1702;4;Desativada;271;597;715;LT 500 kV NOVA PONTE /ITUMBIARA MG;1;397;182,0000000000;MGNPON;NOVA PONTE;USI NOVA PONTE    MG;MG;MGUSIM;ITUMBIARA;USI ITUMBIARA     MG;MG;2561;;;0;1;3;2;23;28;500,00
2026-04-27;1696;4;Ativa;269;597;658;LT 500 kV NOVA PONTE /SAO GOTARDO 2 MG;1;440;198,0000000000;MGNPON;NOVA PONTE;USI NOVA PONTE    MG;MG;MGSGOT;SAO GOTARDO 2;SUB SAO GOTARDO 2    MG;MG;2562;;;0;1;3;2;23;28;500,00
2026-04-27;1477;4;Ativa;210;362;658;LT 500 kV B.DESPACHO 3 /SAO GOTARDO 2 MG;2;210;91,0000000000;MGBDE3;B.DESPACHO 3;SUB BOM DESPACHO 3   MG;MG;MGSGOT;SAO GOTARDO 2;SUB SAO GOTARDO 2    MG;MG;2563;;;0;1;3;2;23;28;500,00
2026-04-27;1699;4;Ativa;270;597;676;LT 500 kV NOVA PONTE /ESTREITO MG;1;301;147,0000000000;MGNPON;NOVA PONTE;USI NOVA PONTE    MG;MG;MGSTES;ESTREITO;SUB ESTREITO    MG;MG;2564;;;0;1;3;2;23;28;500,00
2026-04-27;4300;4;Ativa;858;1672;1568;LT 525 kV C.NOVOS /NOVA STA RITA SC/RS;1;591;257,4000000000;SCCNO;C.NOVOS;SUB CAMPOS NOVOS     SC;SC;RSPOL;NOVA STA RITA;SUB NOVA STA RITA    RS;RS;2634;;;0;1;4;2;23;1;525,00
2026-04-27;5071;4;Ativa;1021;2179;2538;LT 345 kV ITAPETI /TIJUCO PRETO SP;3;60;21,0000000000;SPITE;ITAPETI;SUB ITAPETI    SP;SP;SPSTTP;TIJUCO PRETO;SUB TIJUCO PRETO     SP;SP;2651;;;1;0;2;1;23;28;345,00
2026-04-27;5074;4;Ativa;1021;2179;2538;LT 345 kV ITAPETI /TIJUCO PRETO SP;4;60;21,0000000000;SPITE;ITAPETI;SUB ITAPETI    SP;SP;SPSTTP;TIJUCO PRETO;SUB TIJUCO PRETO     SP;SP;2652;;;1;0;2;1;23;28;345,00
2026-04-27;5050;4;Ativa;1018;2179;2320;LT 345 kV ITAPETI /NORDESTE SP;1;83;29,0000000000;SPITE;ITAPETI;SUB ITAPETI    SP;SP;SPNOD;NORDESTE;SUB NORDESTE    SP;SP;2653;2260;2260;0;0;2;2;23;28;345,00
2026-04-27;3586;4;Ativa;675;1426;1436;LT 230 kV PIMENTA BUENO /VILHENA RO;2;337;160,0000000000;ROPB;PIMENTA BUENO;SUB PIMENTA BUENO    RO;RO;ROVN;VILHENA;SUB VILHENA    RO;RO;2670;1562;1240;0;1;2;2;37;1;230,00
2026-04-27;3574;4;Ativa;672;1424;1426;LT 230 kV JI-PARANA /PIMENTA BUENO RO;2;251;118,0000000000;ROJP;JI-PARANA;SUB JI-PARANA     RO;RO;ROPB;PIMENTA BUENO;SUB PIMENTA BUENO    RO;RO;2671;1562;1240;0;1;2;2;37;1;230,00
2026-04-27;3565;4;Ativa;670;1422;1424;LT 230 kV ARIQUEMES /JI-PARANA RO;2;351;164,0000000000;ROAQ;ARIQUEMES;SUB ARIQUEMES     RO;RO;ROJP;JI-PARANA;SUB JI-PARANA     RO;RO;2672;781;620;0;1;1;2;37;1;230,00
2026-04-27;3589;4;Ativa;676;1431;1422;LT 230 kV SAMUEL /ARIQUEMES RO;2;325;153,0000000000;ROSM;SAMUEL;SUB SAMUEL     RO;RO;ROAQ;ARIQUEMES;SUB ARIQUEMES     RO;RO;2673;781;620;0;1;1;2;37;1;230,00
2026-04-27;1810;4;Ativa;295;676;476;LT 500 kV ESTREITO /JAGUARA-SE MG/SP;1;105;46,0000000000;MGSTES;ESTREITO;SUB ESTREITO    MG;MG;MGJGS1;JAGUARA-SE;SUB JAGUARA-SE SP;SP;2692;2760;2300;0;1;3;2;23;1;500,00
2026-04-27;1813;4;Ativa;296;676;2435;LT 500 kV ESTREITO /RIBEIRAO PRETO MG/SP;1;262;118,0000000000;MGSTES;ESTREITO;SUB ESTREITO    MG;MG;SPRPR;RIBEIRAO PRETO;SUB RIBEIRAO PRETO SP;SP;2693;2760;2300;0;1;3;2;23;1;500,00
2026-04-27;1822;4;Ativa;299;678;2435;LT 500 kV POCOS CALDAS /RIBEIRAO PRETO MG/SP;1;301;136,0000000000;MGSTPC;POCOS CALDAS;SUB POCOS DE CALDAS    MG;MG;SPRPR;RIBEIRAO PRETO;SUB RIBEIRAO PRETO SP;SP;2694;2760;2300;0;1;3;2;23;1;500,00
2026-04-27;1897;4;Desativada;319;718;673;LT 500 kV MARIMBONDO /SAO SIMAO-SE MG;1;436;210,0000000000;MGUSMR;MARIMBONDO;USI MARIMBONDO    MG;MG;MGSSSE;SAO SIMAO-SE;SUB SAO SIMAO-SE     MG;MG;2724;;;0;1;3;2;23;1;500,00
2026-04-27;1894;4;Desativada;318;718;2435;LT 500 kV MARIMBONDO /RIBEIRAO PRETO MG/SP;1;424;199,0000000000;MGUSMR;MARIMBONDO;USI MARIMBONDO    MG;MG;SPRPR;RIBEIRAO PRETO;SUB RIBEIRAO PRETO SP;SP;2725;;;0;1;3;2;23;1;500,00
2026-04-27;1033;4;Ativa;104;203;222;LT 230 kV U.MASCARENHAS /VERONA ES;1;227;106,5000000000;ESMASC;U.MASCARENHAS;USI MASCARENHAS   ES;ES;ESSTVE;VERONA;SUB VERONA     ES;ES;2749;;;0;1;1;1;13;1;230,00
2026-04-27;1729;4;Ativa;278;605;617;LT 500 kV PARACATU 4 /PIRAPORA 2 MG;1;493;244,0000000000;MGPAT4;PARACATU 4;SUB PARACATU 4    MG;MG;MGPIRD;PIRAPORA 2;SUB PIRAPORA 2    MG;MG;2754;;;0;1;3;2;26;1;500,00
2026-04-27;2716;4;Ativa;492;1027;1024;LT 500 kV CURITIBA /BATEIAS PR;2;85;37,0000000000;PRCBA;CURITIBA;SUB CURITIBA    PR;PR;PRBTA;BATEIAS;SUB BATEIAS    PR;PR;2805;;;0;0;4;1;13;1;500,00
2026-04-27;5077;4;Ativa;1022;2186;1081;LT 230 kV ITARARE II /JAGUARIAIVA SP/PR;1;93;44,0000000000;SPITR2;ITARARE II;SUB ITARARE II    SP;SP;PRJGI;JAGUARIAIVA;SUB JAGUARIAIVA   PR;PR;2816;;;0;1;1;1;13;1;230,00
2026-04-27;565;4;Ativa;11;37;70;LT 230 kV BRUMADO II /IBICOARA BA;1;203;94,5000000000;BABDD;BRUMADO II;SUB BRUMADO II    BA;BA;BAICA;IBICOARA;SUB IBICOARA    BA;BA;2833;934;753;0;2;1;2;13;2;230,00
2026-04-27;4285;4;Ativa;855;1672;1778;LT 230 kV C.NOVOS /VIDEIRA SC;1;137;68,0000000000;SCCNO;C.NOVOS;SUB CAMPOS NOVOS     SC;SC;SCVID;VIDEIRA;SUB VIDEIRA    SC;SC;2849;824;647;1;0;1;1;13;1;230,00
2026-04-27;4288;4;Ativa;855;1672;1778;LT 230 kV C.NOVOS /VIDEIRA SC;2;137;68,0000000000;SCCNO;C.NOVOS;SUB CAMPOS NOVOS     SC;SC;SCVID;VIDEIRA;SUB VIDEIRA    SC;SC;2850;824;647;1;0;1;1;13;1;230,00
2026-04-27;2557;4;Ativa;451;996;163;LT 230 kV PICOS /TAUA II PI/CE;1;347;183,2000000000;PIPIC;PICOS;SUB PICOS    PI;PI;CETAA;TAUA II;SUB TAUA II    CE;CE;2877;747;628;0;2;1;2;13;2;230,00
2026-04-27;2791;4;Desativada;512;1047;1057;LT 230 kV CASCAVEL OEST /F.IGUACUNORTE PR;1;265;115,0000000000;PRCVO ;CASCAVEL OEST;SUB CASCAVEL OESTE   PR;PR;PRFON;F.IGUACUNORTE;SUB FOZ IGUACU NORTE    PR;PR;2884;961;714;0;1;1;1;10;1;230,00
2026-04-27;5740;4;Ativa;1147;2731;998;LT 500 kV COLINAS /RIB.GONCALVES TO/PI;2;761;367,0000000000;TOCO;COLINAS;SUB COLINAS    TO;TO;PIRGO;RIB.GONCALVES;SUB RIBEIRO GONCALVES   PI;PI;2893;2900;2300;0;1;4;2;23;1;500,00
2026-04-27;2566;4;Ativa;453;998;999;LT 500 kV RIB.GONCALVES /S.JOAO PIAUI PI;2;696;343,0000000000;PIRGO;RIB.GONCALVES;SUB RIBEIRO GONCALVES   PI;PI;PISJI;S.JOAO PIAUI;SUB SAO JOAO PIAUI   PI;PI;2895;2900;2300;0;1;4;2;23;1;500,00
2026-04-27;3991;4;Ativa;782;1566;1585;LT 230 kV PRE.MEDICI /SANTA CRUZ 1 RS;1;573;238,0000000000;RSPME;PRE.MEDICI;SUB PRESIDENTE MEDICI   RS;RS;RSSCR1;SANTA CRUZ 1;SUB SANTA CRUZ 1 RS;RS;3101;818;665;0;1;1;2;27;1;230,00
2026-04-27;4546;4;Ativa;913;3144;19;LT 230 kV N.S.SOCORRO /PENEDO SE/AL;1;213;110,0000000000;SENSC;N.S.SOCORRO;SUB NOSSA SENHORA DO SOCORRO SE;SE;ALPEN;PENEDO;SUB PENEDO AL;AL;3108;790;627;0;2;1;2;43;1;230,00
